from,to,weight,family,work,activity,year
frsi,anco,3,2,3,5,1961
anco,frsi,3,2,3,5,1961
frsi,edto,2,2,3,5,1961
edto,frsi,2,2,3,5,1961
frsi,sada,3,2,1,5,1962
sada,frsi,3,2,1,5,1962
frsi,edfi,2,2,1,5,1962
edfi,frsi,2,2,1,5,1962
frsi,leol,1,2,1,4,1962
leol,frsi,1,2,1,4,1962
frsi,jofi,3,2,3,4,1962
jofi,frsi,3,2,3,4,1962
frsi,cama,1,2,3,5,1962
cama,frsi,1,2,3,5,1962
frsi,satr,1,2,3,5,1962
satr,frsi,1,2,3,5,1962
satr,cama,2,2,0,5,1962
cama,satr,2,2,0,5,1962
satr,cono,3,2,2,0,1962
cono,satr,3,2,2,0,1962
satr,trfa,3,1,2,0,1962
trfa,satr,3,1,2,0,1962
cama,cono,3,2,2,0,1962
cono,cama,3,2,2,0,1962
cama,neor,3,1,2,0,1962
neor,cama,3,1,2,0,1962
frsi,hesa,3,2,1,4,1962
hesa,frsi,3,2,1,4,1962
sagi,frsi,3,2,1,4,1962
frsi,sada,3,2,2,4,1962
sada,frsi,3,2,2,4,1962
frsi,dicr,3,2,2,4,1962
dicr,frsi,3,2,2,4,1962
sagi,frsi,3,2,3,0,1963
frsi,gumo,2,2,1,0,1963
gumo,frsi,2,2,1,0,1963
nasi,frsi,3,1,3,5,1963
frsi,vifa,1,2,2,6,1963
vifa,frsi,1,2,2,6,1963
frsi,gumo,3,2,2,4,1963
gumo,frsi,3,2,2,4,1963
frsi,phmc,2,2,3,4,1963
phmc,frsi,2,2,3,4,1963
frsi,gibo,3,2,2,4,1963
gibo,frsi,3,2,2,4,1963
frsi,hesa,3,2,1,0,1963
hesa,frsi,3,2,1,0,1963
frsi,jofi,3,2,2,4,1963
jofi,frsi,3,2,2,4,1963
frsi,dicr,3,2,1,5,1963
dicr,frsi,3,2,1,5,1963
frsi,jofi,3,2,3,4,1963
jofi,frsi,3,2,3,4,1963
frsi,pada,3,2,1,4,1963
pada,frsi,3,2,1,4,1963
frsi,anci,2,2,3,5,1963
anci,frsi,2,2,3,5,1963
anci,cono,3,2,1,0,1963
cono,anci,3,2,1,0,1963
frsi,caci,2,2,3,5,1963
caci,frsi,2,2,3,5,1963
frsi,nici,2,2,3,5,1963
nici,frsi,2,2,3,5,1963
nici,caci,3,1,3,5,1963
caci,nici,3,1,3,5,1963
frsi,padam,1,2,3,5,1963
padam,frsi,1,2,3,5,1963
sagi,frsi,3,2,3,5,1963
padam,chou,3,2,2,0,1963
chou,padam,3,2,2,0,1963
frsi,xxfr,1,2,1,4,1964
frsi,frst,3,2,1,4,1964
sagi,xxfr,1,2,1,4,1964
sagi,frst,2,2,1,4,1964
sagi,frsi,3,2,1,4,1964
frst,frsi,3,2,1,4,1964
frst,sagi,2,2,1,4,1964
frst,xxfr,1,2,1,4,1964
frsi,rios,1,2,3,2,1964
frsi,dicr,3,2,3,5,1964
dicr,frsi,3,2,3,5,1964
frsi,hacr,2,2,1,0,1964
hacr,frsi,2,2,1,0,1964
frsi,riba,3,2,0,4,1964
riba,frsi,3,2,0,4,1964
sada,frsi,1,2,3,4,1964
frsi,sada,1,2,3,4,1964
frsi,moda,1,2,3,5,1964
moda,frsi,1,2,3,5,1964
frsi,mial,2,2,3,5,1964
mial,frsi,2,2,3,5,1964
frsi,frwe,1,2,3,2,1966
frwe,frsi,1,2,3,2,1966
frsi,dicr,3,2,3,6,1966
frwe,dicr,1,2,3,6,1966
dicr,frwe,1,2,3,6,1966
dicr,frsi,3,2,3,6,1966
frsi,ansc,1,2,3,5,1967
ansc,frsi,1,2,3,5,1967
ansc,cono,1,2,2,0,1967
cono,ansc,1,2,2,0,1967
joco,cono,3,1,2,0,1967
cono,joco,3,1,2,0,1967
frsi,ancar,3,2,0,5,1969
ancar,frsi,3,2,0,5,1969
frsi,erri,3,2,3,5,1970
erri,frsi,3,2,3,5,1970
sawa,frsi,1,2,3,1,1970
frsi,miru,2,2,1,0,1970
miru,frsi,2,2,1,0,1970
ande,caga,1,2,2,6,1972
caga,ande,1,2,2,6,1972
caga,japo,2,0,2,6,1972
josi,ande,1,0,2,6,1972
ande,josi,2,0,3,6,1972
frsi,caga,1,2,2,6,1972
caga,frsi,1,2,2,6,1972
frsi,ande,1,2,2,6,1972
ande,frsi,1,2,2,6,1972
erri,frsi,1,2,2,6,1972
frsi,erri,1,2,2,6,1972
erri,josi,1,2,2,6,1972
josi,erri,1,2,2,6,1972
erri,caga,1,2,2,6,1972
caga,erri,1,2,2,6,1972
erri,ande,1,2,2,6,1972
ande,erri,1,2,2,6,1972
frde,roal,1,2,3,2,1972
frbu,roal,1,2,3,1,1971
frsi,roal,1,2,2,1,1971
ande,roal,1,2,3,1,1971
ancar,roal,1,2,3,1,1971
erri,roal,1,2,2,1,1971
mima,roal,1,2,3,1,1971
joga,roal,1,2,3,1,1971
josi,roal,1,2,2,1,1971
caga,roal,1,2,2,1,1971
jopag,roal,1,2,3,1,1971
frbu,roal,1,2,3,1,1972
japo,roal,1,2,1,4,1972
roal,japo,1,2,1,4,1972
roal,jopag,1,2,1,4,1972
josi,roal,1,2,1,4,1972
josi,caga,1,1,1,4,1972
josi,frsi,1,2,1,4,1972
frsi,josi,1,2,1,4,1972
josi,erri,1,2,1,4,1972
erri,josi,1,2,1,4,1972
erri,dasc,1,2,0,6,1972
dasc,erri,1,2,0,6,1972
joba,frsi,1,2,3,1,1972
frwei,frsi,1,2,3,1,1974
frwei,erri,1,2,3,1,1974
frwei,jear,1,2,3,1,1974
frsi,jony,1,2,0,6,1959
ande,cono,2,2,2,0,0
caga,cono,3,2,2,0,0
tory,cono,1,0,2,0,0
jopag,cono,1,0,2,0,0
joga,cono,1,2,2,0,0
ancar,cono,1,0,2,0,0
mima,cono,1,0,2,0,0
mima,gafa,1,2,2,0,0
frankgu,gafa,1,2,2,0,0
dasc,frsi,1,2,0,6,0
frsi,dasc,1,2,0,6,0
besi,aasm,1,2,2,5,0
aasm,besi,1,2,2,5,0
besi,cono,1,2,2,6,0
aasm,kono,1,2,2,6,0
aasm,todo,1,2,3,6,0
todo,aasm,1,2,3,6,0
aasm,padan,1,2,3,6,0
padan,aasm,1,2,3,6,0
aasm,chlo,1,2,3,2,0
todo,chlo,1,2,3,2,0
padan,chlo,1,2,3,2,0
jofi,rofi,2,1,2,6,0
rofi,jofi,2,1,2,6,0
alca,jofi,1,1,2,6,0
jofi,alca,1,1,2,6,0
jofi,chou,1,2,2,6,0
rofi,chou,1,2,2,6,0
alca,chou,3,2,2,6,0
chfi,rofi,2,1,2,6,0
rofi,chfi,2,1,2,6,0
chfi,jofi,2,1,2,6,0
jofi,chfi,2,1,2,6,0
rofi,alca,1,1,2,6,0
alca,rofi,1,1,2,6,0
chfi,alca,1,1,2,6,0
alca,chfi,1,1,2,6,0
chfi,chou,1,2,2,6,0
gumo,frsi,1,2,0,5,0
frsi,gumo,1,2,0,5,0
frca,gefa,2,2,2,6,0
frca,gumo,1,2,2,6,0
gumo,frca,1,2,2,6,0
gumo,gido,1,2,2,6,0
gido,gumo,1,2,2,6,0
gumo,abzw,1,2,2,6,0
abzw,gumo,1,2,2,6,0
gumo,mesu,1,2,2,6,0
mesu,gumo,1,2,2,6,0
gumo,besi,1,2,2,6,0
besi,gumo,1,2,2,6,0
roha,frsi,1,2,3,6,0
frsi,roha,1,2,3,6,0
roha,frros,1,2,1,6,0
frros,roha,1,2,1,6,0
rofi,mafi,2,1,3,6,0
mafi,rofi,2,1,3,6,0
mafi,jofi,2,1,3,6,0
jofi,mafi,2,1,3,6,0
frsi,mafi,1,2,3,6,0
mafi,frsi,1,2,3,6,0
nifi,chfi,1,1,0,6,0
chfi,nifi,1,1,0,6,0
mafi,nifi,2,1,3,6,0
nifi,mafi,2,1,3,6,0
rofi,nifi,1,1,0,6,0
nifi,rofi,1,1,0,6,0
jofi,nifi,1,1,0,6,0
nifi,jofi,1,1,0,6,0
nifi,alca,1,1,0,6,0
alca,nifi,1,1,0,6,0
frsi,alma,1,2,1,6,0
alma,frsi,1,2,1,6,0
frsi,juim,2,2,3,6,0
frsi,joke,3,2,3,6,0
sagi,frsi,3,2,3,6,0
sagi,juim,3,2,3,6,0
juim,frsi,2,2,3,6,0
juim,sagi,3,2,3,6,0
juim,joke,2,2,3,6,0
jodip,drafa,3,1,2,0,0
sagi,phgu,3,2,1,0,0
phgu,sagi,3,2,1,0,0
gumo,jera,3,2,2,0,0
jera,gumo,3,2,2,0,0
jony,frsi,1,2,0,6,0
frgu,gafa,1,2,2,0,0
joyo,cono,1,0,2,0,0
gima,cono,3,2,2,4,1920
cono,gima,3,2,2,4,1920
gima,gefa,3,1,2,6,1922
gefa,gima,3,1,2,6,1922
salu,gima,3,2,2,3,1931
joma,cofa,3,2,2,6,1961
cofa,joma,3,2,2,6,1961
gima,cofa,3,2,2,6,1930
cofa ,gima,3,2,2,6,1930
cofa,lufa,3,2,2,4,1930
lufa,cofa,3,2,2,4,1930
cofa,bofa,3,2,2,4,1930
bofa ,cofa ,3,2,2,4,1930
cofa,gifa,3,2,2,4,1930
gifa,cofa,3,2,2,4,1930
cofa,bafa,3,2,2,4,1930
bafa,cofa,3,2,2,4,1930
cofa,brfa,3,2,2,4,1930
brfa,cofa,3,2,2,4,1930
cofa,cifa ,3,2,2,4,1930
cifa,cofa,3,2,2,4,1930
cofa,defa,3,2,2,4,1930
defa,cofa,3,2,2,4,1930
cofa,gefa,3,2,2,4,1930
gefa,cofa,3,2,2,4,1930
cofa,mafa,3,2,2,4,1930
mafa,cofa,3,2,2,4,1930
cofa,drafa ,3,2,2,4,1930
drafa,cofa,3,2,2,4,1930
cofa,trfa ,3,2,2,4,1930
trfa,cofa,3,2,2,4,1930
bofa,cono,3,2,2,4,1930
cono,bofa,3,2,2,4,1930
gibo,bofa,3,1,2,6,1930
bofa,gibo,3,1,2,6,1930
bofa,lufa,3,2,2,4,1930
lufa,bofa,3,2,2,4,1930
bofa,gifa,3,2,2,4,1930
gifa,bofa,3,2,2,4,1930
bofa,bafa,3,2,2,4,1930
bafa,bofa,3,2,2,4,1930
bofa,brfa,3,2,2,4,1930
brfa,bofa,3,2,2,4,1930
bofa,cifa,3,2,2,4,1930
cifa,bofa,3,2,2,4,1930
bofa,defa,3,2,2,4,1930
defa,bofa,3,2,2,4,1930
bofa,gefa,3,2,2,4,1930
gefa,bofa,3,2,2,4,1930
bofa,mafa,3,2,2,4,1930
mafa,bofa,3,2,2,4,1930
bofa,drafa,3,2,2,4,1930
drafa,bofa,3,2,2,4,1930
bofa,trfa,3,2,2,4,1930
trfa,bofa,3,2,2,4,1930
bofa,sama,3,2,2,4,1931
sama,bofa,3,2,2,4,1931
bofa,gadi ,3,2,2,6,1964
gadi,bofa,3,2,2,6,1964
galu,caga,2,2,2,4,0
caga,galu,2,2,2,4,0
galu,lufa,3,1,2,6,0
lufa,galu,3,1,2,6,0
caga,lufa,2,2,2,4,0
lufa,caga,2,2,2,4,0
galu,gafa,3,1,2,6,0
gafa,galu,3,1,2,6,0
gafa,lufa,2,2,2,4,0
lufa,gafa,2,2,2,4,0
jomas,gefa,3,1,2,6,1922
gefa,jomas ,3,1,2,6,1922
salu,jomas,3,2,2,3,1931
salu,sama,3,2,2,4,1931
sama,salu,3,2,2,4,1931
drafa,alfr,3,2,2,6,0
alfr,drafa,3,2,2,6,0
meco,alfr,1,2,2,6,1945
alfr,meco,1,2,2,6,1945
chou,anac,3,2,2,6,0
anac,chou,3,2,2,6,0
anac,felu,2,2,2,6,0
felu,anac,2,2,2,6,0
felu,chou,3,2,2,6,0
chou,felu,3,2,2,6,0
alca,anac,2,2,2,4,0
anac,alca,2,2,2,4,0
gefa,anca,1,2,2,6,0
anca,gefa,1,2,2,6,0
abzw,anca,1,2,2,6,0
anca,abzw,1,2,2,6,0
anca,geca,1,2,2,6,0
geca,anca,1,2,2,6,0
geca,gefa,3,2,2,6,0
gefa,geca,3,2,2,6,0
abzw,geca,1,2,3,6,0
geca,abzw,1,2,3,6,0
gumo,geca,1,2,3,6,0
geca,gumo,1,2,3,6,0
naba,chsi,3,1,3,6,1948
chsi,naba,3,1,3,6,1948
frsin,naba,3,0,0,0,0
chsi,frsi,3,1,3,6,1948
frsi,chsi,3,1,3,6,1948
defa,gafa,3,2,2,4,0
gafa,defa,3,2,2,4,0
defa,lufa,2,2,2,4,0
lufa,defa,2,2,2,4,0
defa,gefa,2,2,2,4,0
gefa,defa,2,2,2,4,0
frsi,nasi,3,1,3,5,1963
frsi,todo,2,2,1,4,1942
frsi,sagi,3,2,2,4,1959
frsi,sagi,3,2,1,4,1962
frsi,sagi,3,2,3,5,1963
frsi,sagi,3,2,1,4,1964
